id,usuario_id,nome,imagem_url,dificuldade,categoria,estrelas,alt_text
25,NULL,"Escovar os dentes",https://i.imgur.com/r1kd4FD.png,FACIL,Higiene,1,"Menina feliz em frente a pia do banheiro, segurando sua escova e escovando os dentes, com a boca cheia de espuma"
26,NULL,"Tomar café da manhã",https://i.imgur.com/639ak9W.png,FACIL,Alimentação,1,"Menina e menino felizes, sentados à mesa, tomando café da manhã composto por uma caneca, uma fatia de pão e uma laranja."
27,NULL,Vestir-se,https://i.imgur.com/sS8TRqE.png,MEDIO,Autonomia,2,"Crianças felizes se vestindo."
28,NULL,"Ir para a Escola",https://i.imgur.com/VmRDv84.png,DIFICIL,Compromissos,3,"Crianças felizes indo para a escola, com roupa da escola e suas mochilas nas costas."
29,NULL,"Fazer dever de casa",https://i.imgur.com/N5ne7eP.png,DIFICIL,Estudos,3,"Crianças felizes com seus lápis e cadernos, fazendo a lição de casa."
30,NULL,"Tempo livre",https://i.imgur.com/NhQ5CHn.png,FACIL,Lazer,1,"Crianças felizes brincando com o que gostam, jogando jogos, videogame ou bola."
31,NULL,"Tomar banho",https://i.imgur.com/2k8H7Bm.png,MEDIO,Higiene,2,"Criança feliz no banheiro segurando sua toalha, pronta para a hora de tomar banho e ficar limpinha."
32,NULL,Jantar,https://i.imgur.com/woEnnwm.png,FACIL,Alimentação,1,"Menina e menino sentados à mesa, jantando felizes."
33,NULL,"Preparar para dormir",https://i.imgur.com/Ghuc7ye.png,MEDIO,"Rotina Noturna",2,"Crianças prontas para dormir, já de pijama e com seus ursinhos no quarto em frente a sua cama."
34,NULL,"Guardar os brinquedos",https://i.imgur.com/dxzpmCZ.png,MEDIO,Autonomia,2,"Crianças felizes guardando os brinquedos, depois de se divertir muito."
35,NULL,"Ir na TO",https://i.imgur.com/fdSagM4.png,MEDIO,Terapias,2,"Criança indo feliz para a clinica para a hora da terapia."
36,NULL,"Ir na Psico",https://i.imgur.com/fdSagM4.png,MEDIO,Terapias,2,"Criança indo feliz para a clinica para a hora da terapia."
37,NULL,"Ir na Fono",https://i.imgur.com/fdSagM4.png,MEDIO,Terapias,2,"Criança indo feliz para a clinica para a hora da terapia."
38,NULL,"Fazer Exames",https://i.imgur.com/mSmFRTh.png,DIFICIL,Saúde,3,"Criança corajosa dentando na maca no consultório médico, esperando o doutor fazer um exame."
39,NULL,"Ir no Médico",https://i.imgur.com/TqF8Lkj.png,DIFICIL,Saúde,3,"Crianças no consultório médico felizes e sem medo enquanto a doutora escuta o coração e conversa com as crianças."
40,NULL,"Ir no Dentista",https://i.imgur.com/ZqZGnyx.png,DIFICIL,Saúde,3,"Criança corajosa sentada na cadeira da dentista, com a boca aberta para a doutora ajudar a cuidar dos dentinhos."
41,NULL,"Guardar o bico",https://i.imgur.com/j1134bL.jpeg,DIFICIL,Saúde,3,"Menina e menino entregando o bico para a mamãe guardar, felizes pois poderão brincar sem se preocupar com os bicos."
42,NULL,"Xixi no vaso",https://i.imgur.com/Z9sUOP9.png,DIFICIL,Higiene,3,"Criança feliz no banheiro, onde vai fazer seu xixi ou cocô no vaso sanitário."
43,NULL,"Cocô no vaso",https://i.imgur.com/Z9sUOP9.png,DIFICIL,Higiene,3,"Criança feliz no banheiro, onde vai fazer seu xixi ou cocô no vaso sanitário."
44,NULL,"Tomar Vacina",https://i.imgur.com/C4ujVEE.png,DIFICIL,Saúde,3,"enina feliz na hora de tomar vacina, braço da enfermeira segura e aplica a injeção no braço da menina. Ao lado dela, o menino já tomou sua vacina e está orgulhoso com seu curativo no braço."
45,NULL,Almoçar,https://i.imgur.com/TwAITLV.png,FACIL,Alimentação,1,"Menina e menino sentados à mesa, almoçando bem felizes."
